search_name,candidate,best_valid_accuracy,best_valid_loss,best_epoch,training_time_sec,selected
channels,c32_64,0.3846631205673759,2.432559451651066,8,128.8597170789726,False
channels,c64_128,0.5242907801418439,1.9447875310343208,8,235.00610547303222,False
channels,c32_64_128,0.8457446808510638,0.47568854068187955,8,142.1580524139572,True
scheduler,StepLR,0.8352836879432625,0.5301782052567665,7,141.9830736857839,False
scheduler,CosineAnnealingLR,0.8335992907801418,0.5330812329941608,8,142.34454450383782,False
scheduler,ReduceLROnPlateau,0.8437056737588653,0.477109731680958,7,141.8793467551004,True
activation,relu,0.848404255319149,0.45643636554690964,8,142.43980941688642,True
activation,leaky_relu,0.8463652482269504,0.45664411783218384,8,144.28104880196042,False
activation,elu,0.8406028368794326,0.4873476853607394,8,152.54041511798277,False
optimizer,adam_1e-3,0.8484929078014184,0.45184782481362634,8,145.8711461541243,False
optimizer,adamw_1e-3,0.8448581560283688,0.4548955800262749,8,141.27341213519685,False
optimizer,sgd_5e-2,0.8552304964539007,0.4204087241321591,8,140.136511515826,True
optimizer,rmsprop_1e-3,0.8486702127659574,0.4559253232276186,8,141.19398236018606,False
normalization,batchnorm,0.8592198581560284,0.41210408324890946,8,140.82875537895598,True
normalization,layernorm,0.8537234042553191,0.4337256967598665,7,137.55347518483177,False
normalization,none,0.8453900709219858,0.4340824195679198,8,126.69001946388744,False
dropout,dropout_0.0,0.8595744680851064,0.40137230479125435,7,139.45502436393872,True
dropout,dropout_0.3,0.8433510638297872,0.4577090529262597,8,139.76980756991543,False
dropout,dropout_0.5,0.8008865248226951,0.6767200477579807,8,139.74577857507393,False
regularization,none,0.862145390070922,0.4017515960314595,7,139.0067859350238,False
regularization,l1,0.863741134751773,0.40099397225582856,6,139.59373252396472,False
regularization,l2,0.8667553191489362,0.39169368912987673,7,138.93515396793373,True
